booking,name,service_class,preference,requested_seat,group_id
BR13001,Yulia Ivanova,ECONOMY,WINDOW,12A,
BR13002,Alexey Wilson,BUSINESS,AISLE,2C,
BR13003,Stepan Volkov,ECONOMY,TOGETHER,,G100
BR13004,Alina Orlova,ECONOMY,TOGETHER,,G100
BR13005,Roman Orlov,ECONOMY,TOGETHER,,G101
BR13006,Elena Kim,ECONOMY,TOGETHER,,G101
BR13007,Polina Kang,ECONOMY,TOGETHER,,G101
BR13008,Olga Petrova,ECONOMY,WINDOW,40K,
BR13009,Ivan Kim,ECONOMY,WINDOW,3A,
BR13010,Alexey Miller,BUSINESS,AISLE,18C,
BR13011,Elena Kim,ECONOMY,WINDOW,12A,
BR13012,Roman Kim,BUSINESS,ANY,,
BR13013,Irina Orlova,BUSINESS,MIDDLE,42F,
BR13014,Pavel Orlov,BUSINESS,WINDOW,,
BR13015,Kirill Popov,ECONOMY,MIDDLE,30K,
BR13016,Ivan Wilson,ECONOMY,AISLE,,
BR13017,Sergey Petrov,ECONOMY,AISLE,4J,
BR13018,Ivan Lee,BUSINESS,AISLE,,
BR13019,Daria Volkova,BUSINESS,AISLE,,
BR13020,Daria Popova,ECONOMY,MIDDLE,30H,
BR13021,Elena Petrova,ECONOMY,ANY,,
BR13022,Irina Petrova,ECONOMY,MIDDLE,9G,
BR13023,Sergey Popov,ECONOMY,MIDDLE,,
BR13024,Pavel Kim,ECONOMY,ANY,,
BR13025,Timur Kang,ECONOMY,AISLE,21H,
BR13026,Elena Wilson,ECONOMY,ANY,,
BR13027,Mikhail Lee,ECONOMY,ANY,,
BR13028,Vera Ivanova,ECONOMY,WINDOW,27G,
BR13029,Elena Lee,ECONOMY,AISLE,,
BR13030,Stepan Petrov,ECONOMY,AISLE,24C,
BR13031,Olga Miller,BUSINESS,ANY,,
BR13032,Alexey Orlov,ECONOMY,WINDOW,,
BR13033,Mikhail Volkov,ECONOMY,WINDOW,35G,
BR13034,Daria Wilson,ECONOMY,ANY,33D,
BR13035,Anna Wilson,BUSINESS,TOGETHER,,
BR13036,Denis Volkov,ECONOMY,AISLE,,
BR13037,Denis Kang,ECONOMY,TOGETHER,,G1
BR13038,Pavel Kim,ECONOMY,TOGETHER,,G1
BR13039,Elena Miller,ECONOMY,WINDOW,,
BR13040,Vera Popova,ECONOMY,AISLE,25H,
BR13041,Ivan Popov,ECONOMY,MIDDLE,10C,
BR13042,Anna Lee,BUSINESS,MIDDLE,2C,
BR13043,Irina Lee,ECONOMY,TOGETHER,,
BR13044,Stepan Sokolov,ECONOMY,WINDOW,,
BR13045,Polina Popova,ECONOMY,ANY,,
BR13046,Pavel Lee,BUSINESS,AISLE,38E,
BR13047,Kira Ivanova,ECONOMY,WINDOW,25G,
BR13048,Oleg Sokolov,BUSINESS,ANY,,
BR13049,Sergey Popov,BUSINESS,WINDOW,,
BR13050,Mikhail Orlov,ECONOMY,AISLE,,
BR13051,Irina Miller,BUSINESS,TOGETHER,,
BR13052,Sofia Petrova,BUSINESS,TOGETHER,,
BR13053,Yulia Kang,ECONOMY,TOGETHER,,
BR13054,Maria Kim,ECONOMY,AISLE,38C,
BR13055,Maria Orlova,ECONOMY,WINDOW,,
BR13056,Sergey Orlov,BUSINESS,MIDDLE,6K,
BR13057,Kirill Sokolov,ECONOMY,TOGETHER,,
BR13058,Maria Sokolova,ECONOMY,AISLE,,
BR13059,Elena Lee,ECONOMY,MIDDLE,45E,
BR13060,Polina Sokolova,ECONOMY,TOGETHER,,
BR13061,Kira Volkova,ECONOMY,WINDOW,,
BR13062,Olga Kim,ECONOMY,AISLE,,
BR13063,Vera Popova,ECONOMY,MIDDLE,11H,
BR13064,Kira Wilson,ECONOMY,TOGETHER,,
BR13065,Ivan Lee,BUSINESS,ANY,1D,
BR13066,Sofia Orlova,ECONOMY,MIDDLE,,
BR13067,Irina Sokolova,BUSINESS,MIDDLE,,
BR13068,Anna Popova,ECONOMY,AISLE,,
BR13069,Alina Petrova,ECONOMY,MIDDLE,,
BR13070,Elena Volkova,ECONOMY,AISLE,22J,
BR13071,Vera Wilson,ECONOMY,TOGETHER,,
BR13072,Yulia Popova,ECONOMY,MIDDLE,,
BR13073,Maria Park,ECONOMY,TOGETHER,,
BR13074,Polina Ivanova,ECONOMY,TOGETHER,,G2
BR13075,Mikhail Kang,ECONOMY,TOGETHER,,G2
BR13076,Irina Kim,BUSINESS,TOGETHER,,G2
BR13077,Olga Sokolova,ECONOMY,MIDDLE,,
BR13078,Roman Wilson,ECONOMY,ANY,31B,
BR13079,Daria Miller,BUSINESS,ANY,,
BR13080,Kira Ivanova,ECONOMY,MIDDLE,29H,
BR13081,Daria Sokolova,ECONOMY,WINDOW,13G,
BR13082,Mikhail Orlov,ECONOMY,TOGETHER,,
BR13083,Ivan Wilson,ECONOMY,TOGETHER,,
BR13084,Roman Miller,ECONOMY,MIDDLE,,
BR13085,Maria Kim,ECONOMY,WINDOW,16D,
BR13086,Alina Kang,BUSINESS,ANY,43C,
BR13087,Nikita Ivanov,ECONOMY,MIDDLE,,
BR13088,Ivan Park,ECONOMY,WINDOW,,
BR13089,Kirill Ivanov,ECONOMY,TOGETHER,,
BR13090,Maria Popova,ECONOMY,WINDOW,,
BR13091,Kira Petrova,ECONOMY,TOGETHER,,
BR13092,Roman Kang,BUSINESS,TOGETHER,,
BR13093,Daria Park,ECONOMY,MIDDLE,34J,
BR13094,Olga Volkova,BUSINESS,MIDDLE,36H,
BR13095,Olga Lee,ECONOMY,WINDOW,4J,
BR13096,Olga Ivanova,ECONOMY,TOGETHER,,
BR13097,Ivan Petrov,ECONOMY,TOGETHER,,
BR13098,Olga Popova,ECONOMY,AISLE,,
BR13099,Mikhail Volkov,ECONOMY,AISLE,37K,
BR13100,Alexey Miller,BUSINESS,WINDOW,,
BR13101,Ivan Popov,BUSINESS,MIDDLE,7C,
BR13102,Denis Volkov,ECONOMY,MIDDLE,,
BR13103,Mikhail Lee,ECONOMY,WINDOW,,
BR13104,Daria Kim,ECONOMY,WINDOW,,
BR13105,Anna Park,ECONOMY,TOGETHER,,
BR13106,Oleg Volkov,ECONOMY,MIDDLE,20C,
BR13107,Irina Kim,ECONOMY,WINDOW,6A,
BR13108,Polina Kim,ECONOMY,WINDOW,25J,
BR13109,Anna Kim,ECONOMY,ANY,,
BR13110,Polina Ivanova,ECONOMY,TOGETHER,,
BR13111,Anna Sokolova,ECONOMY,TOGETHER,,G3
BR13112,Elena Sokolova,ECONOMY,TOGETHER,,G3
BR13113,Sergey Lee,BUSINESS,ANY,42J,
BR13114,Daria Park,BUSINESS,AISLE,,
BR13115,Mikhail Volkov,ECONOMY,MIDDLE,,
BR13116,Anna Kim,ECONOMY,TOGETHER,,
BR13117,Maria Ivanova,ECONOMY,WINDOW,,
BR13118,Sergey Miller,ECONOMY,MIDDLE,34J,
BR13119,Elena Miller,ECONOMY,MIDDLE,38A,
BR13120,Elena Volkova,ECONOMY,AISLE,,
BR13121,Roman Lee,ECONOMY,ANY,,
BR13122,Stepan Miller,ECONOMY,ANY,39F,
BR13123,Maria Kim,ECONOMY,TOGETHER,,
BR13124,Elena Wilson,ECONOMY,ANY,,
BR13125,Denis Wilson,ECONOMY,MIDDLE,,
BR13126,Oleg Wilson,BUSINESS,ANY,,
BR13127,Anna Sokolova,BUSINESS,WINDOW,39K,
BR13128,Sergey Ivanov,ECONOMY,MIDDLE,,
BR13129,Timur Popov,BUSINESS,MIDDLE,,
BR13130,Sofia Lee,ECONOMY,AISLE,,
BR13131,Daria Popova,BUSINESS,AISLE,21H,
BR13132,Vera Kang,ECONOMY,TOGETHER,,
BR13133,Maria Orlova,ECONOMY,TOGETHER,,
BR13134,Olga Park,ECONOMY,TOGETHER,,
BR13135,Timur Petrov,ECONOMY,AISLE,25E,
BR13136,Vera Kang,BUSINESS,TOGETHER,,
BR13137,Kirill Kim,BUSINESS,MIDDLE,,
BR13138,Stepan Kang,ECONOMY,ANY,22F,
BR13139,Stepan Park,ECONOMY,AISLE,,
BR13140,Daria Ivanova,ECONOMY,AISLE,,
BR13141,Ivan Wilson,ECONOMY,AISLE,,
BR13142,Irina Ivanova,ECONOMY,TOGETHER,,
BR13143,Sofia Orlova,ECONOMY,MIDDLE,10E,
BR13144,Olga Miller,ECONOMY,WINDOW,,
BR13145,Sergey Kim,ECONOMY,TOGETHER,,
BR13146,Elena Ivanova,ECONOMY,AISLE,,
BR13147,Pavel Kim,ECONOMY,MIDDLE,11E,
BR13148,Vera Popova,BUSINESS,TOGETHER,,G4
BR13149,Olga Petrova,ECONOMY,TOGETHER,,G4
BR13150,Kirill Wilson,ECONOMY,TOGETHER,,G4
BR13151,Sofia Orlova,ECONOMY,WINDOW,,
BR13152,Maria Ivanova,ECONOMY,WINDOW,,
BR13153,Mikhail Kang,BUSINESS,TOGETHER,,
BR13154,Anna Miller,BUSINESS,ANY,10G,
BR13155,Stepan Kang,ECONOMY,MIDDLE,9A,
BR13156,Daria Park,BUSINESS,TOGETHER,,
