booking,name,service_class,preference,requested_seat,group_id
BR12001,Vera Volkova,ECONOMY,WINDOW,12A,
BR12002,Stepan Kang,BUSINESS,AISLE,2C,
BR12003,Sergey Orlov,ECONOMY,TOGETHER,,G100
BR12004,Timur Orlov,ECONOMY,TOGETHER,,G100
BR12005,Denis Sokolov,BUSINESS,TOGETHER,,G101
BR12006,Vera Wilson,ECONOMY,TOGETHER,,G101
BR12007,Sofia Ivanova,ECONOMY,TOGETHER,,G101
BR12008,Ivan Volkov,ECONOMY,WINDOW,40K,
BR12009,Timur Miller,ECONOMY,WINDOW,3A,
BR12010,Irina Popova,BUSINESS,AISLE,18C,
BR12011,Timur Petrov,ECONOMY,WINDOW,12A,
BR12012,Alina Miller,ECONOMY,MIDDLE,,
BR12013,Oleg Orlov,ECONOMY,WINDOW,,
BR12014,Nikita Wilson,ECONOMY,AISLE,,
BR12015,Ivan Kang,BUSINESS,ANY,,
BR12016,Maria Kim,ECONOMY,AISLE,,
BR12017,Olga Miller,ECONOMY,TOGETHER,,
BR12018,Roman Park,ECONOMY,WINDOW,,
BR12019,Alexey Wilson,ECONOMY,WINDOW,,
BR12020,Sofia Kim,ECONOMY,MIDDLE,,
BR12021,Oleg Park,ECONOMY,MIDDLE,7F,
BR12022,Kira Petrova,ECONOMY,AISLE,,
BR12023,Polina Orlova,BUSINESS,AISLE,,
BR12024,Mikhail Kang,ECONOMY,MIDDLE,,
BR12025,Maria Orlova,ECONOMY,ANY,,
BR12026,Pavel Lee,ECONOMY,WINDOW,,
BR12027,Daria Miller,ECONOMY,MIDDLE,,
BR12028,Ivan Volkov,BUSINESS,ANY,25K,
BR12029,Timur Volkov,ECONOMY,AISLE,,
BR12030,Maria Park,ECONOMY,ANY,31C,
BR12031,Oleg Kim,ECONOMY,MIDDLE,,
BR12032,Ivan Miller,ECONOMY,AISLE,24J,
BR12033,Mikhail Orlov,ECONOMY,MIDDLE,,
BR12034,Anna Sokolova,ECONOMY,TOGETHER,,
BR12035,Yulia Wilson,ECONOMY,ANY,9G,
BR12036,Timur Kang,ECONOMY,TOGETHER,,
BR12037,Maria Wilson,BUSINESS,TOGETHER,,G1
BR12038,Alexey Petrov,ECONOMY,TOGETHER,,G1
BR12039,Irina Kang,ECONOMY,WINDOW,,
BR12040,Maria Wilson,ECONOMY,TOGETHER,,
BR12041,Elena Ivanova,ECONOMY,MIDDLE,39D,
BR12042,Mikhail Park,ECONOMY,MIDDLE,,
BR12043,Kira Ivanova,BUSINESS,MIDDLE,,
BR12044,Anna Wilson,ECONOMY,MIDDLE,,
BR12045,Denis Sokolov,ECONOMY,MIDDLE,,
BR12046,Alexey Popov,ECONOMY,ANY,24D,
BR12047,Vera Petrova,ECONOMY,MIDDLE,,
BR12048,Elena Lee,ECONOMY,TOGETHER,,
BR12049,Nikita Sokolov,BUSINESS,ANY,,
BR12050,Roman Petrov,ECONOMY,AISLE,,
BR12051,Mikhail Kang,ECONOMY,TOGETHER,,
BR12052,Kira Popova,ECONOMY,MIDDLE,,
BR12053,Alina Kim,ECONOMY,TOGETHER,,
BR12054,Irina Kim,BUSINESS,WINDOW,,
BR12055,Anna Kang,ECONOMY,MIDDLE,23F,
BR12056,Alexey Ivanov,ECONOMY,ANY,,
BR12057,Maria Popova,ECONOMY,MIDDLE,,
BR12058,Oleg Orlov,ECONOMY,ANY,15B,
BR12059,Timur Miller,ECONOMY,AISLE,1E,
BR12060,Roman Kim,ECONOMY,TOGETHER,,
BR12061,Sofia Sokolova,BUSINESS,AISLE,,
BR12062,Kira Kang,BUSINESS,TOGETHER,,
BR12063,Polina Miller,ECONOMY,MIDDLE,,
BR12064,Nikita Kim,ECONOMY,WINDOW,,
BR12065,Roman Kim,ECONOMY,MIDDLE,,
BR12066,Pavel Volkov,ECONOMY,TOGETHER,,
BR12067,Nikita Volkov,ECONOMY,ANY,,
BR12068,Alexey Petrov,ECONOMY,WINDOW,,
BR12069,Vera Miller,ECONOMY,TOGETHER,,
BR12070,Oleg Volkov,ECONOMY,AISLE,,
BR12071,Oleg Park,BUSINESS,ANY,,
BR12072,Alina Lee,ECONOMY,AISLE,,
BR12073,Oleg Park,ECONOMY,MIDDLE,,
BR12074,Timur Park,ECONOMY,TOGETHER,,G2
BR12075,Nikita Park,ECONOMY,TOGETHER,,G2
BR12076,Polina Volkova,ECONOMY,TOGETHER,,G2
BR12077,Nikita Kang,ECONOMY,MIDDLE,,
BR12078,Maria Kang,ECONOMY,AISLE,,
BR12079,Mikhail Kim,ECONOMY,WINDOW,,
BR12080,Mikhail Popov,ECONOMY,MIDDLE,12E,
BR12081,Olga Orlova,ECONOMY,WINDOW,,
BR12082,Mikhail Kang,ECONOMY,ANY,,
BR12083,Denis Park,ECONOMY,ANY,,
BR12084,Maria Kang,ECONOMY,MIDDLE,,
BR12085,Kira Petrova,ECONOMY,AISLE,,
BR12086,Oleg Kang,ECONOMY,WINDOW,23F,
BR12087,Oleg Kim,ECONOMY,MIDDLE,36C,
BR12088,Timur Park,ECONOMY,MIDDLE,,
BR12089,Irina Wilson,BUSINESS,AISLE,12C,
BR12090,Alexey Ivanov,ECONOMY,MIDDLE,,
BR12091,Daria Popova,ECONOMY,AISLE,,
BR12092,Roman Petrov,ECONOMY,AISLE,,
BR12093,Elena Ivanova,ECONOMY,TOGETHER,,
BR12094,Polina Wilson,ECONOMY,WINDOW,,
BR12095,Kira Petrova,ECONOMY,TOGETHER,,
BR12096,Denis Miller,ECONOMY,AISLE,1D,
BR12097,Oleg Wilson,BUSINESS,MIDDLE,26E,
BR12098,Elena Popova,ECONOMY,AISLE,24A,
BR12099,Alexey Park,ECONOMY,ANY,,
BR12100,Daria Wilson,BUSINESS,MIDDLE,,
BR12101,Sofia Sokolova,ECONOMY,TOGETHER,,
BR12102,Anna Lee,ECONOMY,TOGETHER,,
BR12103,Stepan Park,ECONOMY,TOGETHER,,
BR12104,Sofia Petrova,ECONOMY,WINDOW,,
BR12105,Alexey Kang,ECONOMY,ANY,36B,
BR12106,Kirill Wilson,ECONOMY,MIDDLE,,
BR12107,Nikita Kang,ECONOMY,MIDDLE,,
BR12108,Irina Popova,ECONOMY,TOGETHER,,
BR12109,Timur Petrov,ECONOMY,WINDOW,,
BR12110,Kirill Popov,ECONOMY,ANY,32J,
BR12111,Alina Ivanova,ECONOMY,TOGETHER,,G3
BR12112,Olga Sokolova,ECONOMY,TOGETHER,,G3
BR12113,Sergey Miller,ECONOMY,TOGETHER,,
BR12114,Elena Miller,ECONOMY,AISLE,19D,
BR12115,Alina Kang,BUSINESS,ANY,30D,
BR12116,Elena Kang,ECONOMY,AISLE,,
BR12117,Alexey Wilson,BUSINESS,WINDOW,,
