booking,name,service_class,preference,requested_seat,group_id
BR15001,Kira Volkova,ECONOMY,WINDOW,12A,
BR15002,Stepan Volkov,BUSINESS,AISLE,2C,
BR15003,Sergey Volkov,BUSINESS,TOGETHER,,G100
BR15004,Vera Petrova,BUSINESS,TOGETHER,,G100
BR15005,Anna Park,ECONOMY,TOGETHER,,G101
BR15006,Anna Kim,BUSINESS,TOGETHER,,G101
BR15007,Alina Petrova,ECONOMY,TOGETHER,,G101
BR15008,Olga Wilson,ECONOMY,WINDOW,40K,
BR15009,Vera Miller,ECONOMY,WINDOW,3A,G1
BR15010,Alexey Volkov,BUSINESS,AISLE,18C,G1
BR15011,Alexey Kang,ECONOMY,WINDOW,12A,
BR15012,Daria Ivanova,ECONOMY,WINDOW,,
BR15013,Irina Kim,ECONOMY,ANY,35C,
BR15014,Pavel Ivanov,BUSINESS,TOGETHER,,
BR15015,Kira Kim,BUSINESS,MIDDLE,37D,
BR15016,Mikhail Volkov,ECONOMY,AISLE,,
BR15017,Vera Ivanova,ECONOMY,MIDDLE,17K,
BR15018,Ivan Miller,ECONOMY,TOGETHER,,G2
BR15019,Polina Lee,ECONOMY,TOGETHER,,G2
BR15020,Kira Kim,ECONOMY,TOGETHER,,G2
BR15021,Alina Petrova,ECONOMY,ANY,18A,
BR15022,Ivan Sokolov,ECONOMY,ANY,42A,
BR15023,Elena Lee,ECONOMY,MIDDLE,21D,
BR15024,Olga Wilson,ECONOMY,WINDOW,,
BR15025,Denis Sokolov,ECONOMY,ANY,33C,
BR15026,Nikita Kim,ECONOMY,WINDOW,,
BR15027,Roman Sokolov,BUSINESS,TOGETHER,,G3
BR15028,Maria Petrova,ECONOMY,TOGETHER,,G3
BR15029,Roman Volkov,ECONOMY,TOGETHER,,
BR15030,Irina Petrova,BUSINESS,TOGETHER,,
BR15031,Timur Kang,ECONOMY,ANY,,
BR15032,Anna Volkova,ECONOMY,AISLE,,
BR15033,Elena Ivanova,ECONOMY,TOGETHER,,
BR15034,Mikhail Ivanov,ECONOMY,WINDOW,,
BR15035,Timur Sokolov,ECONOMY,ANY,,
BR15036,Sofia Petrova,BUSINESS,TOGETHER,,G4
BR15037,Sofia Orlova,ECONOMY,TOGETHER,,G4
BR15038,Timur Park,ECONOMY,TOGETHER,,G4
BR15039,Elena Lee,ECONOMY,WINDOW,,
BR15040,Nikita Ivanov,ECONOMY,TOGETHER,,
BR15041,Alexey Volkov,ECONOMY,WINDOW,26G,
BR15042,Elena Ivanova,ECONOMY,ANY,27F,
BR15043,Stepan Kim,ECONOMY,ANY,37C,
BR15044,Kira Kim,ECONOMY,AISLE,29B,
BR15045,Polina Orlova,ECONOMY,TOGETHER,,G5
BR15046,Daria Petrova,BUSINESS,TOGETHER,,G5
BR15047,Roman Sokolov,ECONOMY,TOGETHER,,
BR15048,Roman Lee,ECONOMY,WINDOW,,
BR15049,Maria Lee,ECONOMY,AISLE,7H,
BR15050,Elena Wilson,ECONOMY,MIDDLE,,
BR15051,Polina Popova,ECONOMY,WINDOW,,
BR15052,Alexey Popov,BUSINESS,MIDDLE,,
BR15053,Denis Lee,ECONOMY,ANY,,
BR15054,Kira Lee,ECONOMY,TOGETHER,,G6
BR15055,Vera Kim,ECONOMY,TOGETHER,,G6
BR15056,Anna Ivanova,ECONOMY,TOGETHER,,G6
BR15057,Polina Park,ECONOMY,TOGETHER,,
BR15058,Alina Kang,ECONOMY,TOGETHER,,
BR15059,Yulia Wilson,ECONOMY,AISLE,,
BR15060,Sergey Wilson,ECONOMY,TOGETHER,,
BR15061,Ivan Ivanov,BUSINESS,WINDOW,19K,
BR15062,Oleg Popov,ECONOMY,AISLE,,
BR15063,Stepan Kang,ECONOMY,TOGETHER,,G7
BR15064,Timur Petrov,ECONOMY,TOGETHER,,G7
BR15065,Roman Popov,ECONOMY,TOGETHER,,
