booking,name,service_class,preference,requested_seat,group_id
BR11001,Alexey Volkov,ECONOMY,WINDOW,12A,
BR11002,Denis Lee,BUSINESS,AISLE,2C,
BR11003,Elena Volkova,ECONOMY,TOGETHER,,G100
BR11004,Olga Miller,ECONOMY,TOGETHER,,G100
BR11005,Nikita Kim,ECONOMY,TOGETHER,,G101
BR11006,Kira Kang,ECONOMY,TOGETHER,,G101
BR11007,Sergey Orlov,BUSINESS,TOGETHER,,G101
BR11008,Sergey Lee,ECONOMY,WINDOW,40K,
BR11009,Vera Orlova,ECONOMY,WINDOW,3A,
BR11010,Irina Ivanova,BUSINESS,AISLE,18C,
BR11011,Alexey Orlov,ECONOMY,WINDOW,12A,
BR11012,Anna Lee,BUSINESS,AISLE,,
BR11013,Daria Volkova,ECONOMY,AISLE,,
BR11014,Alina Miller,ECONOMY,AISLE,,
BR11015,Sofia Kang,ECONOMY,WINDOW,,
BR11016,Timur Popov,BUSINESS,AISLE,5D,
BR11017,Mikhail Park,ECONOMY,WINDOW,2H,
BR11018,Alexey Kim,ECONOMY,MIDDLE,28J,
BR11019,Kira Kang,ECONOMY,TOGETHER,,
BR11020,Daria Wilson,ECONOMY,ANY,,
BR11021,Kirill Wilson,BUSINESS,ANY,34C,
BR11022,Oleg Park,ECONOMY,ANY,,
BR11023,Stepan Ivanov,BUSINESS,WINDOW,,
BR11024,Daria Popova,ECONOMY,TOGETHER,,
BR11025,Irina Lee,ECONOMY,WINDOW,,
BR11026,Kirill Wilson,ECONOMY,AISLE,,
BR11027,Oleg Kim,ECONOMY,ANY,35D,
BR11028,Sofia Popova,ECONOMY,TOGETHER,,
BR11029,Polina Sokolova,ECONOMY,MIDDLE,,
BR11030,Oleg Wilson,ECONOMY,MIDDLE,,
BR11031,Yulia Popova,ECONOMY,TOGETHER,,
BR11032,Vera Petrova,BUSINESS,ANY,,
BR11033,Kirill Petrov,ECONOMY,TOGETHER,,
BR11034,Mikhail Kang,ECONOMY,AISLE,,
BR11035,Oleg Volkov,ECONOMY,AISLE,36B,
BR11036,Roman Ivanov,ECONOMY,ANY,,
