booking,name,service_class,preference,requested_seat,group_id
BR16001,Yulia Petrova,ECONOMY,WINDOW,12A,
BR16002,Elena Kang,BUSINESS,AISLE,2C,
BR16003,Nikita Kang,ECONOMY,TOGETHER,,G100
BR16004,Pavel Kim,ECONOMY,TOGETHER,,G100
BR16005,Elena Lee,ECONOMY,TOGETHER,,G101
BR16006,Timur Miller,BUSINESS,TOGETHER,,G101
BR16007,Stepan Sokolov,ECONOMY,TOGETHER,,G101
BR16008,Daria Park,ECONOMY,WINDOW,40K,
BR16009,Irina Sokolova,ECONOMY,WINDOW,3A,G1
BR16010,Oleg Petrov,BUSINESS,AISLE,18C,G1
BR16011,Kirill Miller,ECONOMY,WINDOW,12A,
BR16012,Alina Sokolova,ECONOMY,MIDDLE,,
BR16013,Elena Kang,ECONOMY,WINDOW,,
BR16014,Sofia Miller,ECONOMY,WINDOW,,
BR16015,Ivan Wilson,ECONOMY,MIDDLE,27G,
BR16016,Kira Kang,ECONOMY,TOGETHER,,
BR16017,Kira Volkova,ECONOMY,WINDOW,,
BR16018,Mikhail Kim,ECONOMY,TOGETHER,,G2
BR16019,Sergey Petrov,ECONOMY,TOGETHER,,G2
BR16020,Kirill Lee,ECONOMY,TOGETHER,,G2
BR16021,Elena Miller,ECONOMY,MIDDLE,,
BR16022,Timur Ivanov,ECONOMY,AISLE,,
BR16023,Maria Park,ECONOMY,TOGETHER,,
BR16024,Mikhail Ivanov,ECONOMY,AISLE,,
BR16025,Stepan Kim,ECONOMY,MIDDLE,,
BR16026,Oleg Petrov,ECONOMY,MIDDLE,,
BR16027,Anna Sokolova,ECONOMY,TOGETHER,,G3
BR16028,Sergey Ivanov,ECONOMY,TOGETHER,,G3
BR16029,Polina Kang,ECONOMY,ANY,,
BR16030,Roman Ivanov,BUSINESS,TOGETHER,,
BR16031,Oleg Kim,ECONOMY,TOGETHER,,
BR16032,Maria Volkova,ECONOMY,MIDDLE,,
BR16033,Polina Ivanova,ECONOMY,TOGETHER,,
BR16034,Maria Ivanova,ECONOMY,ANY,,
BR16035,Polina Wilson,ECONOMY,TOGETHER,,
BR16036,Denis Kang,ECONOMY,TOGETHER,,G4
BR16037,Denis Volkov,BUSINESS,TOGETHER,,G4
BR16038,Polina Petrova,BUSINESS,TOGETHER,,G4
BR16039,Stepan Ivanov,ECONOMY,WINDOW,11B,
BR16040,Ivan Popov,ECONOMY,TOGETHER,,
BR16041,Olga Miller,ECONOMY,WINDOW,,
BR16042,Mikhail Lee,BUSINESS,TOGETHER,,
BR16043,Timur Ivanov,BUSINESS,WINDOW,11D,
BR16044,Sergey Sokolov,ECONOMY,ANY,,
BR16045,Anna Park,ECONOMY,TOGETHER,,G5
BR16046,Vera Kang,ECONOMY,TOGETHER,,G5
BR16047,Alexey Wilson,BUSINESS,WINDOW,,
BR16048,Olga Miller,ECONOMY,MIDDLE,7E,
BR16049,Polina Popova,ECONOMY,AISLE,13J,
BR16050,Alexey Wilson,ECONOMY,MIDDLE,14H,
BR16051,Irina Ivanova,ECONOMY,ANY,,
BR16052,Mikhail Park,ECONOMY,WINDOW,,
BR16053,Olga Kim,ECONOMY,AISLE,,
BR16054,Ivan Kim,BUSINESS,TOGETHER,,G6
BR16055,Vera Kang,BUSINESS,TOGETHER,,G6
BR16056,Nikita Petrov,ECONOMY,TOGETHER,,G6
BR16057,Stepan Wilson,ECONOMY,AISLE,,
BR16058,Kira Orlova,ECONOMY,AISLE,,
BR16059,Olga Sokolova,BUSINESS,TOGETHER,,
BR16060,Mikhail Petrov,ECONOMY,ANY,,
BR16061,Oleg Volkov,ECONOMY,AISLE,,
