booking,name,service_class,preference,requested_seat,group_id
BR14001,Kirill Volkov,ECONOMY,WINDOW,12A,
BR14002,Alina Park,BUSINESS,AISLE,2C,
BR14003,Kirill Orlov,ECONOMY,TOGETHER,,G100
BR14004,Vera Popova,ECONOMY,TOGETHER,,G100
BR14005,Oleg Lee,ECONOMY,TOGETHER,,G101
BR14006,Alina Petrova,ECONOMY,TOGETHER,,G101
BR14007,Elena Miller,ECONOMY,TOGETHER,,G101
BR14008,Kira Popova,ECONOMY,WINDOW,40K,
BR14009,Roman Kang,ECONOMY,WINDOW,3A,G1
BR14010,Daria Wilson,BUSINESS,AISLE,18C,G1
BR14011,Roman Sokolov,ECONOMY,WINDOW,12A,
BR14012,Alexey Miller,ECONOMY,MIDDLE,25K,
BR14013,Roman Sokolov,ECONOMY,MIDDLE,,
BR14014,Ivan Kim,ECONOMY,MIDDLE,15B,
BR14015,Sofia Wilson,BUSINESS,MIDDLE,,
BR14016,Olga Kang,ECONOMY,WINDOW,4K,
BR14017,Alexey Sokolov,ECONOMY,ANY,39D,
BR14018,Denis Park,ECONOMY,TOGETHER,,G2
BR14019,Alexey Kim,ECONOMY,TOGETHER,,G2
BR14020,Sofia Kang,ECONOMY,TOGETHER,,G2
BR14021,Maria Popova,ECONOMY,TOGETHER,,
BR14022,Ivan Sokolov,ECONOMY,WINDOW,41C,
BR14023,Elena Wilson,ECONOMY,ANY,19A,
BR14024,Oleg Orlov,ECONOMY,TOGETHER,,
BR14025,Daria Lee,ECONOMY,WINDOW,,
BR14026,Nikita Volkov,BUSINESS,MIDDLE,,
BR14027,Mikhail Park,ECONOMY,TOGETHER,,G3
BR14028,Vera Ivanova,ECONOMY,TOGETHER,,G3
BR14029,Timur Volkov,ECONOMY,ANY,,
BR14030,Denis Ivanov,ECONOMY,TOGETHER,,
BR14031,Nikita Ivanov,BUSINESS,AISLE,,
BR14032,Vera Kim,ECONOMY,TOGETHER,,
BR14033,Olga Sokolova,ECONOMY,TOGETHER,,
BR14034,Kirill Ivanov,ECONOMY,AISLE,,
BR14035,Denis Kim,ECONOMY,TOGETHER,,
BR14036,Pavel Kim,ECONOMY,TOGETHER,,G4
